"participant","clip","clip.order","outcome","question.order","question.index","question.quality","response","model.prediction","question"
"debug8YUMIS",13,4,"negative",1,2,"medium",89,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debug8YUMIS",13,4,"negative",3,3,"bad",0,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented <b>Ball E</b> from going through the gate."
"debug8YUMIS",16,1,"positive",3,1,"good",73,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> affected the way <b>Ball E</b> went through the gate."
"debug8YUMIS",16,1,"positive",1,2,"medium",90,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debug8YUMIS",16,1,"positive",2,3,"bad",91,0,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debug8YUMIS",23,6,"positive",3,1,"good",91,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to not go through the gate."
"debug8YUMIS",23,6,"positive",2,2,"medium",81,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debug8YUMIS",23,6,"positive",1,3,"bad",85,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to not go through the gate."
"debugIOZ2G2",5,3,"negative",1,1,"good",1,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to not go through the gate."
"debugIOZ2G2",5,3,"negative",3,2,"medium",98,0.5,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugIOZ2G2",5,3,"negative",2,3,"bad",86,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> caused <b>Ball E</b> to not go through the gate."
"debugIOZ2G2",7,2,"positive",3,1,"good",99,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to go through the gate."
"debugIOZ2G2",7,2,"positive",1,2,"medium",98,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugIOZ2G2",7,2,"positive",2,3,"bad",21,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugIOZ2G2",9,4,"negative",1,1,"good",88,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> affected the way <b>Ball E</b> didn't go through the gate."
"debugIOZ2G2",9,4,"negative",2,2,"medium",90,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugIOZ2G2",9,4,"negative",3,3,"bad",17,0,"If <span style='font-weight:bold;color:blue'>Ball B</span> and E didn't collide, it would have affected the way <b>Ball E</b> didn't go through the gate."
"debugIOZ2G2",13,6,"negative",2,1,"good",94,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugIOZ2G2",13,6,"negative",3,2,"medium",93,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugIOZ2G2",13,6,"negative",1,3,"bad",12,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented <b>Ball E</b> from going through the gate."
"debugIOZ2G2",16,5,"positive",2,1,"good",97,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> affected the way <b>Ball E</b> went through the gate."
"debugIOZ2G2",16,5,"positive",1,2,"medium",97,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugIOZ2G2",16,5,"positive",3,3,"bad",99,0,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugIOZ2G2",23,1,"positive",1,1,"good",65,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to not go through the gate."
"debugIOZ2G2",23,1,"positive",2,2,"medium",98,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugIOZ2G2",23,1,"positive",3,3,"bad",64,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to not go through the gate."
"debugLMDQ52",5,2,"negative",2,1,"good",81,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to not go through the gate."
"debugLMDQ52",5,2,"negative",1,2,"medium",97,0.5,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugLMDQ52",5,2,"negative",3,3,"bad",57,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> caused <b>Ball E</b> to not go through the gate."
"debugLMDQ52",7,4,"positive",3,1,"good",91,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to go through the gate."
"debugLMDQ52",7,4,"positive",1,2,"medium",97,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugLMDQ52",7,4,"positive",2,3,"bad",48,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugLMDQ52",9,1,"negative",3,1,"good",83,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> affected the way <b>Ball E</b> didn't go through the gate."
"debugLMDQ52",9,1,"negative",1,2,"medium",71,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugLMDQ52",9,1,"negative",2,3,"bad",87,0,"If <span style='font-weight:bold;color:blue'>Ball B</span> and E didn't collide, it would have affected the way <b>Ball E</b> didn't go through the gate."
"debugLMDQ52",13,3,"negative",3,1,"good",95,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugLMDQ52",13,3,"negative",2,2,"medium",79,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugLMDQ52",13,3,"negative",1,3,"bad",2,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented <b>Ball E</b> from going through the gate."
"debugLMDQ52",16,6,"positive",1,1,"good",90,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> affected the way <b>Ball E</b> went through the gate."
"debugLMDQ52",16,6,"positive",2,2,"medium",69,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugLMDQ52",16,6,"positive",3,3,"bad",59,0,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugLMDQ52",23,5,"positive",2,1,"good",66,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to not go through the gate."
"debugLMDQ52",23,5,"positive",1,2,"medium",81,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugLMDQ52",23,5,"positive",3,3,"bad",83,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to not go through the gate."
"debugNB99HO",5,1,"negative",1,1,"good",82,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to not go through the gate."
"debugNB99HO",5,1,"negative",2,2,"medium",99,0.5,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugNB99HO",5,1,"negative",3,3,"bad",67,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> caused <b>Ball E</b> to not go through the gate."
"debugNB99HO",7,3,"positive",3,1,"good",98,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to go through the gate."
"debugNB99HO",7,3,"positive",1,2,"medium",98,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugNB99HO",7,3,"positive",2,3,"bad",88,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugNB99HO",9,4,"negative",1,1,"good",63,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> affected the way <b>Ball E</b> didn't go through the gate."
"debugNB99HO",9,4,"negative",2,2,"medium",99,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugNB99HO",9,4,"negative",3,3,"bad",18,0,"If <span style='font-weight:bold;color:blue'>Ball B</span> and E didn't collide, it would have affected the way <b>Ball E</b> didn't go through the gate."
"debugNB99HO",13,2,"negative",2,1,"good",87,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugNB99HO",13,2,"negative",1,2,"medium",57,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugNB99HO",13,2,"negative",3,3,"bad",0,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented <b>Ball E</b> from going through the gate."
"debugNB99HO",16,5,"positive",3,1,"good",89,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> affected the way <b>Ball E</b> went through the gate."
"debugNB99HO",16,5,"positive",1,2,"medium",41,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugNB99HO",16,5,"positive",2,3,"bad",47,0,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugNB99HO",23,6,"positive",3,1,"good",74,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to not go through the gate."
"debugNB99HO",23,6,"positive",1,2,"medium",81,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugNB99HO",23,6,"positive",2,3,"bad",69,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to not go through the gate."
"debugPGAI20",5,1,"negative",1,1,"good",100,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to not go through the gate."
"debugPGAI20",5,1,"negative",2,2,"medium",47,0.5,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugPGAI20",5,1,"negative",3,3,"bad",66,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> caused <b>Ball E</b> to not go through the gate."
"debugPGAI20",7,3,"positive",3,1,"good",96,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to go through the gate."
"debugPGAI20",7,3,"positive",1,2,"medium",61,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugPGAI20",7,3,"positive",2,3,"bad",24,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugPGAI20",9,4,"negative",3,1,"good",81,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> affected the way <b>Ball E</b> didn't go through the gate."
"debugPGAI20",9,4,"negative",2,2,"medium",81,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugPGAI20",9,4,"negative",1,3,"bad",39,0,"If <span style='font-weight:bold;color:blue'>Ball B</span> and E didn't collide, it would have affected the way <b>Ball E</b> didn't go through the gate."
"debugPGAI20",13,6,"negative",1,1,"good",97,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugPGAI20",13,6,"negative",2,2,"medium",73,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugPGAI20",13,6,"negative",3,3,"bad",0,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented <b>Ball E</b> from going through the gate."
"debugPGAI20",16,2,"positive",1,1,"good",86,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> affected the way <b>Ball E</b> went through the gate."
"debugPGAI20",16,2,"positive",2,2,"medium",88,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugPGAI20",16,2,"positive",3,3,"bad",67,0,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugPGAI20",23,5,"positive",2,1,"good",100,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to not go through the gate."
"debugPGAI20",23,5,"positive",1,2,"medium",55,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugPGAI20",23,5,"positive",3,3,"bad",78,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to not go through the gate."
"debugQ9M5T9",5,6,"negative",1,1,"good",82,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to not go through the gate."
"debugQ9M5T9",5,6,"negative",3,2,"medium",98,0.5,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugQ9M5T9",5,6,"negative",2,3,"bad",98,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> caused <b>Ball E</b> to not go through the gate."
"debugQ9M5T9",7,1,"positive",1,1,"good",100,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to go through the gate."
"debugQ9M5T9",7,1,"positive",3,2,"medium",98,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugQ9M5T9",7,1,"positive",2,3,"bad",1,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugQ9M5T9",9,2,"negative",2,1,"good",98,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> affected the way <b>Ball E</b> didn't go through the gate."
"debugQ9M5T9",9,2,"negative",1,2,"medium",99,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugQ9M5T9",9,2,"negative",3,3,"bad",99,0,"If <span style='font-weight:bold;color:blue'>Ball B</span> and E didn't collide, it would have affected the way <b>Ball E</b> didn't go through the gate."
"debugQ9M5T9",13,5,"negative",2,1,"good",98,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugQ9M5T9",13,5,"negative",3,2,"medium",98,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugQ9M5T9",13,5,"negative",1,3,"bad",1,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented <b>Ball E</b> from going through the gate."
"debugQ9M5T9",16,4,"positive",3,1,"good",59,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> affected the way <b>Ball E</b> went through the gate."
"debugQ9M5T9",16,4,"positive",2,2,"medium",99,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugQ9M5T9",16,4,"positive",1,3,"bad",99,0,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugQ9M5T9",23,3,"positive",1,1,"good",97,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to not go through the gate."
"debugQ9M5T9",23,3,"positive",3,2,"medium",99,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>."
"debugQ9M5T9",23,3,"positive",2,3,"bad",98,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to not go through the gate."
"debugVUBQAR",5,2,"negative",3,1,"good",48,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to not go through the gate."
"debugVUBQAR",5,2,"negative",1,2,"medium",56,0.5,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugVUBQAR",5,2,"negative",2,3,"bad",25,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> caused <b>Ball E</b> to not go through the gate."
"debugVUBQAR",7,6,"positive",2,1,"good",75,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to go through the gate."
"debugVUBQAR",7,6,"positive",3,2,"medium",68,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide."
"debugVUBQAR",7,6,"positive",1,3,"bad",43,0,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
"debugVUBQAR",9,3,"negative",2,1,"good",63,1,"The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> affected the way <b>Ball E</b> didn't go through the gate."
"debugVUBQAR",9,3,"negative",3,2,"medium",89,0.5,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate."
"debugVUBQAR",9,3,"negative",1,3,"bad",48,0,"If <span style='font-weight:bold;color:blue'>Ball B</span> and E didn't collide, it would have affected the way <b>Ball E</b> didn't go through the gate."
"debugVUBQAR",13,1,"negative",1,1,"good",0,1,"The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
